西暦（暦年）,地　域,国（地域）名・在外公館名,全体集計合計,全体集計前年比（増減率）,長期滞在者合計,長期滞在者全体比,長期滞在者前年比（増減率）,永住者合計,永住者全体比,永住者前年比（増減率）,成人数
2025年10月1日,アジア,インド,"8,865 ",9.4%,"8,459 ",95.4%,9.8%,406 ,4.6%,1.5%,"7,201 "
2025年10月1日,アジア,インドネシア,"15,266 ",2.2%,"13,479 ",88.3%,2.7%,"1,787 ",11.7%,-1.2%,"11,869 "
2025年10月1日,アジア,カンボジア,"2,915 ",-3.2%,"2,754 ",94.5%,-3.6%,161 ,5.5%,3.9%,"2,448 "
2025年10月1日,アジア,シンガポール,"33,397 ",2.6%,"28,549 ",85.5%,3.0%,"4,848 ",14.5%,-0.1%,"25,198 "
2025年10月1日,アジア,スリランカ,553 ,-8.6%,426 ,77.0%,-10.1%,127 ,23.0%,-3.1%,439 
2025年10月1日,アジア,タイ,"72,113 ",2.4%,"69,380 ",96.2%,2.2%,"2,733 ",3.8%,7.0%,"61,642 "
2025年10月1日,アジア,韓国,"44,471 ",3.3%,"27,242 ",61.3%,3.1%,"17,229 ",38.7%,3.6%,"33,640 "
2025年10月1日,アジア,台湾,"21,755 ",0.3%,"14,437 ",66.4%,-0.9%,"7,318 ",33.6%,2.7%,"16,906 "
2025年10月1日,アジア,中国,"92,928 ",-4.7%,"86,351 ",92.9%,-5.7%,"6,577 ",7.1%,9.8%,"79,100 "
2025年10月1日,アジア,ネパール,472 ,4.9%,434 ,91.9%,4.1%,38 ,8.1%,15.2%,409 
2025年10月1日,アジア,パキスタン,738 ,-23.4%,403 ,54.6%,-14.3%,335 ,45.4%,-32.2%,558 
2025年10月1日,アジア,バングラデシュ,"1,037 ",7.5%,955 ,92.1%,7.4%,82 ,7.9%,7.9%,882 
2025年10月1日,アジア,東ティモール,123 ,7.9%,122 ,99.2%,7.0%,1 ,0.8%,-,114 
2025年10月1日,アジア,フィリピン,"13,342 ",5.5%,"8,750 ",65.6%,7.8%,"4,592 ",34.4%,1.3%,"11,220 "
2025年10月1日,アジア,ブータン,91 ,1.1%,82 ,90.1%,1.2%,9 ,9.9%,0.0%,74 
2025年10月1日,アジア,ブルネイ,117 ,-8.6%,107 ,91.5%,-7.8%,10 ,8.5%,-16.7%,88 
2025年10月1日,アジア,ベトナム,"16,636 ",-4.4%,"16,086 ",96.7%,-4.8%,550 ,3.3%,6.8%,"13,668 "
2025年10月1日,アジア,マレーシア,"19,690 ",-1.7%,"17,923 ",91.0%,-0.5%,"1,767 ",9.0%,-12.0%,"14,834 "
2025年10月1日,アジア,ミャンマー,"1,768 ",-18.2%,"1,745 ",98.7%,-18.5%,23 ,1.3%,9.5%,"1,578 "
2025年10月1日,アジア,モルディブ,98 ,1.0%,89 ,90.8%,4.7%,9 ,9.2%,-25.0%,79 
2025年10月1日,アジア,モンゴル,337 ,-8.4%,300 ,89.0%,-9.6%,37 ,11.0%,2.8%,272 
2025年10月1日,アジア,ラオス,621 ,0.5%,571 ,91.9%,0.7%,50 ,8.1%,-2.0%,513 
2025年10月1日,大洋州,オーストラリア,"105,566 ",1.4%,"40,481 ",38.3%,1.0%,"65,085 ",61.7%,1.6%,"83,370 "
2025年10月1日,大洋州,北マリアナ諸島（米領-サイパン）,493 ,0.0%,178 ,36.1%,-11.9%,315 ,63.9%,8.2%,368 
2025年10月1日,大洋州,キリバス,13 ,62.5%,9 ,69.2%,80.0%,4 ,30.8%,33.3%,11 
2025年10月1日,大洋州,グアム（米領）,"2,697 ",-0.8%,539 ,20.0%,5.7%,"2,158 ",80.0%,-2.3%,"2,158 "
2025年10月1日,大洋州,クック諸島,5 ,25.0%,2 ,40.0%,0.0%,3 ,60.0%,50.0%,4 
2025年10月1日,大洋州,サモア（米領）,6 ,0.0%,0 ,0.0%,-,6 ,100.0%,0.0%,4 
2025年10月1日,大洋州,サモア独立国,69 ,3.0%,51 ,73.9%,6.3%,18 ,26.1%,-5.3%,58 
2025年10月1日,大洋州,ソロモン諸島,72 ,22.0%,72 ,100.0%,22.0%,0 ,0.0%,-,64 
2025年10月1日,大洋州,ツバル,3 ,-,3 ,100.0%,-,0 ,0.0%,-,2 
2025年10月1日,大洋州,トンガ,54 ,12.5%,44 ,81.5%,15.8%,10 ,18.5%,0.0%,47 
2025年10月1日,大洋州,ナウル,0 ,-,0 ,-,-,0 ,-,-,0 
2025年10月1日,大洋州,ニウエ,3 ,0.0%,2 ,66.7%,0.0%,1 ,33.3%,0.0%,3 
2025年10月1日,大洋州,ニューカレドニア（仏領）,225 ,-23.7%,125 ,55.6%,-18.8%,100 ,44.4%,-29.1%,169 
2025年10月1日,大洋州,ニュージーランド,"21,471 ",5.7%,"8,942 ",41.6%,10.2%,"12,529 ",58.4%,2.7%,"17,028 "
2025年10月1日,大洋州,バヌアツ,84 ,-4.5%,84 ,100.0%,-4.5%,0 ,0.0%,-,74 
